


+------------------+-------------------------------------------+-------------------------------------------+-----------------+---------+----------------+---------+------+------+------+------+------------+------------+------------+----------------------------------+------------------------------------------+------------------------------------------------------------------+--------+------------+
| line             | path                                      | target_path                               | category        | action  | transaction_id | inode   | uid  | gid  | mode | size | atime      | mtime      | ctime      | md5                              | sha1                                     | sha256                                                           | hashed | time       |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
| Im adding line 6 | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 0    | 1772741301 | 1772741503 | 1772741503 | d41d8cd98f00b204e9800998ecf8427e | da39a3ee5e6b4b0d3255bfef95601890afd80709 | e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855 | 1      | 1772741503 |
| line1            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 42   | 1772741503 | 1772741503 | 1772741503 | 846e8dcd1c88ca5a59860cf613a996ef | 9b84ba0ad5b0af6a46f2cb0badd1e1189f3ed7aa | 19462b8733fbac36207a409212e6c13b3f11f901e9b6091188e41ec93809427a | 1      | 1772741503 |
| line2            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 42   | 1772741503 | 1772741503 | 1772741503 | 846e8dcd1c88ca5a59860cf613a996ef | 9b84ba0ad5b0af6a46f2cb0badd1e1189f3ed7aa | 19462b8733fbac36207a409212e6c13b3f11f901e9b6091188e41ec93809427a | 1      | 1772741503 |
| line3            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 42   | 1772741503 | 1772741503 | 1772741503 | 846e8dcd1c88ca5a59860cf613a996ef | 9b84ba0ad5b0af6a46f2cb0badd1e1189f3ed7aa | 19462b8733fbac36207a409212e6c13b3f11f901e9b6091188e41ec93809427a | 1      | 1772741503 |
|                  | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 42   | 1772741503 | 1772741503 | 1772741503 | 846e8dcd1c88ca5a59860cf613a996ef | 9b84ba0ad5b0af6a46f2cb0badd1e1189f3ed7aa | 19462b8733fbac36207a409212e6c13b3f11f901e9b6091188e41ec93809427a | 1      | 1772741503 |
| line5            | /home/kali/CTF_work_folder/helloworld.txt | /home/kali/CTF_work_folder/helloworld.txt | CTF_work_folder | UPDATED | 0              | 4197465 | 1000 | 1000 | 0664 | 42   | 1772741503 | 1772741503 | 1772741503 | 846e8dcd1c88ca5a59860cf613a996ef | 9b84ba0ad5b0af6a46f2cb0badd1e1189f3ed7aa | 19462b8733fbac36207a409212e6c13b3f11f901e9b6091188e41ec93809427a | 1      | 1772741503 |
